Date,Description,Amount,Category,Type
2025-06-17,Church Donation,156.01,Charity,expense
2025-06-17,Mobile Game Top-up,100.97,Entertainment,expense
2025-06-17,Starbucks Coffee,168.83,Coffee,expense
2025-06-17,Salon Visit,1184.24,Wellness,expense
2025-06-18,Gas Station Fill Up,1223.08,Fuel,expense
2025-06-19,Bus Fare,60.59,Transport,expense
2025-06-19,Massage Service,645.12,Wellness,expense
2025-06-20,Barangay Contribution,299.47,Charity,expense
2025-06-20,Jeepney Fare,16.69,Transport,expense
2025-06-20,Barangay Contribution,263.98,Charity,expense
2025-06-20,Robinsons Grocery,2435.26,Groceries,expense
2025-06-20,Barangay Contribution,155.46,Charity,expense
2025-06-21,Church Donation,134.22,Charity,expense
2025-06-21,Netflix Subscription,459.0,Entertainment,expense
2025-06-22,7-Eleven Brewed Coffee,57.12,Coffee,expense
2025-06-23,Robinsons Grocery,3072.87,Groceries,expense
2025-06-23,Uniqlo Clothes,1179.43,Shopping,expense
2025-06-23,Barangay Contribution,291.64,Charity,expense
2025-06-23,Dinner at Vikings,1544.12,Dining,expense
2025-06-24,Salon Visit,1088.34,Wellness,expense
2025-06-24,Samgyupsal Dinner,729.93,Food,expense
2025-06-24,Salon Visit,1279.99,Wellness,expense
2025-06-24,Gas Station Fill Up,1901.54,Fuel,expense
2025-06-24,KTV Night,866.04,Entertainment,expense
2025-06-25,Barber Shop,194.01,Wellness,expense
2025-06-26,Small Business Income,5716.81,Income,income
2025-06-26,Shakey's Pizza,718.36,Food,expense
2025-06-26,Church Donation,159.24,Charity,expense
2025-06-26,SM Grocery Shopping,2177.53,Groceries,expense
2025-06-27,Watsons Vitamins,422.56,Medical,expense
2025-06-27,Salon Visit,1481.53,Wellness,expense
2025-06-27,7-Eleven Brewed Coffee,45.62,Coffee,expense
2025-06-27,Family Dinner at Gerry's Grill,1318.15,Dining,expense
2025-06-27,7-Eleven Brewed Coffee,62.12,Coffee,expense
2025-06-28,Samgyupsal Dinner,864.82,Food,expense
2025-06-29,PLDT Internet Bill,1888.64,Utilities,expense
2025-06-29,Mobile Game Top-up,81.91,Entertainment,expense
2025-06-30,Monthly Salary,37952.71,Income,income
2025-06-30,7-Eleven Brewed Coffee,56.84,Coffee,expense
2025-06-30,Taxi Ride,213.71,Transport,expense
2025-06-30,SM Cinema Movie,451.17,Entertainment,expense
2025-06-30,Starbucks Coffee,182.89,Coffee,expense
2025-07-01,Family Dinner at Gerry's Grill,1822.36,Dining,expense
2025-07-01,Barber Shop,155.07,Wellness,expense
2025-07-01,Massage Service,469.2,Wellness,expense
2025-07-02,Church Donation,97.96,Charity,expense
2025-07-02,SM Cinema Movie,419.9,Entertainment,expense
2025-07-03,Gas Station Fill Up,1917.77,Fuel,expense
2025-07-03,Pharmacy Medicine,543.51,Medical,expense
2025-07-03,Family Dinner at Gerry's Grill,1230.19,Dining,expense
2025-07-03,Mobile Game Top-up,101.85,Entertainment,expense
2025-07-04,Dinner at Max's,748.88,Dining,expense
2025-07-04,Lazada Order,1089.95,Shopping,expense
2025-07-05,Robinsons Grocery,2705.7,Groceries,expense
2025-07-05,Netflix Subscription,459.0,Entertainment,expense
2025-07-05,Gas Station Fill Up,1209.6,Fuel,expense
2025-07-05,Freelance Payment,5171.09,Income,income
2025-07-05,Gas Station Fill Up,1545.14,Fuel,expense
2025-07-06,McDonald's Breakfast,134.2,Food,expense
2025-07-07,Shopee Purchase,853.43,Shopping,expense
2025-07-07,GrabCar Ride,306.26,Transport,expense
2025-07-07,Gas Station Fill Up,1524.92,Fuel,expense
2025-07-07,Bus Fare,31.98,Transport,expense
2025-07-08,Netflix Subscription,459.0,Entertainment,expense
2025-07-08,Jollibee Meal,103.01,Food,expense
2025-07-08,Dinner at Vikings,1701.53,Dining,expense
2025-07-08,Puregold Grocery,1864.02,Groceries,expense
2025-07-08,Barangay Contribution,182.64,Charity,expense
2025-07-09,Gas Station Fill Up,1706.86,Fuel,expense
2025-07-09,McDonald's Breakfast,121.66,Food,expense
2025-07-09,Pharmacy Medicine,580.21,Medical,expense
2025-07-09,Barangay Contribution,173.92,Charity,expense
2025-07-10,Maynilad Water Bill,528.8,Utilities,expense
2025-07-10,Dinner at Max's,609.06,Dining,expense
2025-07-10,Taxi Ride,217.26,Transport,expense
2025-07-11,7-Eleven Brewed Coffee,42.74,Coffee,expense
2025-07-11,Gas Station Fill Up,1467.6,Fuel,expense
2025-07-12,Carinderia Meal,88.36,Food,expense
2025-07-12,Starbucks Coffee,196.7,Coffee,expense
2025-07-12,Gas Station Fill Up,1768.46,Fuel,expense
2025-07-13,Dinner at Max's,876.05,Dining,expense
2025-07-13,Church Donation,59.61,Charity,expense
2025-07-13,Small Business Income,4829.95,Income,income
2025-07-13,Dinner at Max's,733.5,Dining,expense
2025-07-13,Barber Shop,109.62,Wellness,expense
2025-07-14,Family Dinner at Gerry's Grill,1994.35,Dining,expense
2025-07-14,SM Cinema Movie,430.23,Entertainment,expense
2025-07-15,Bus Fare,66.68,Transport,expense
2025-07-15,Pharmacy Medicine,446.45,Medical,expense
2025-07-15,Netflix Subscription,459.0,Entertainment,expense
2025-07-16,SM Grocery Shopping,3985.42,Groceries,expense
2025-07-16,Monthly Salary,30080.56,Income,income
2025-07-16,Dinner at Max's,754.04,Dining,expense
2025-07-17,Jeepney Fare,18.85,Transport,expense
2025-07-17,Pharmacy Medicine,592.79,Medical,expense
2025-07-18,Puregold Grocery,1577.21,Groceries,expense
2025-07-18,Monthly Salary,31788.45,Income,income
2025-07-18,Watsons Health Products,725.92,Shopping,expense
2025-07-18,SM Grocery Shopping,2740.92,Groceries,expense
2025-07-19,Lazada Order,1108.94,Shopping,expense
2025-07-20,Maynilad Water Bill,663.67,Utilities,expense
2025-07-20,Jeepney Fare,15.15,Transport,expense
2025-07-20,Dinner at Max's,880.68,Dining,expense
2025-07-20,Mobile Game Top-up,285.5,Entertainment,expense
2025-07-21,Freelance Payment,5237.67,Income,income
2025-07-21,Small Business Income,5337.77,Income,income
2025-07-21,Gas Station Fill Up,1846.95,Fuel,expense
2025-07-21,Tricycle Fare,24.75,Transport,expense
2025-07-21,Samgyupsal Dinner,856.19,Food,expense
2025-07-22,Pharmacy Medicine,228.1,Medical,expense
2025-07-23,Barangay Contribution,297.93,Charity,expense
2025-07-24,Dinner at Vikings,1683.04,Dining,expense
2025-07-24,Monthly Salary,35310.37,Income,income
2025-07-24,Massage Service,501.03,Wellness,expense
2025-07-25,KFC Combo Meal,202.53,Food,expense
2025-07-25,GrabCar Ride,269.88,Transport,expense
2025-07-25,Church Donation,170.54,Charity,expense
2025-07-25,Meralco Electricity Bill,3292.3,Utilities,expense
2025-07-26,Pharmacy Medicine,438.64,Medical,expense
2025-07-26,PLDT Internet Bill,1957.97,Utilities,expense
2025-07-26,GrabFood Order,188.82,Food,expense
2025-07-26,Chowking Lunch,133.6,Food,expense
2025-07-27,GrabCar Ride,164.4,Transport,expense
2025-07-27,SM Grocery Shopping,3594.31,Groceries,expense
2025-07-28,Gas Station Fill Up,1463.25,Fuel,expense
2025-07-29,Spotify Premium,149.0,Entertainment,expense
2025-07-29,Dinner at Vikings,1765.77,Dining,expense
2025-07-30,Uniqlo Clothes,1556.48,Shopping,expense
2025-07-30,Gas Station Fill Up,1574.62,Fuel,expense
2025-07-30,Coffee Project Latte,215.97,Coffee,expense
2025-07-30,Gas Station Fill Up,1919.4,Fuel,expense
2025-07-30,Lazada Order,1696.51,Shopping,expense
2025-07-31,Family Dinner at Gerry's Grill,1442.57,Dining,expense
2025-07-31,Chowking Lunch,141.31,Food,expense
2025-07-31,Family Dinner at Gerry's Grill,1303.99,Dining,expense
2025-07-31,Massage Service,582.07,Wellness,expense
2025-07-31,Maynilad Water Bill,538.46,Utilities,expense
2025-08-01,Puregold Grocery,3312.94,Groceries,expense
2025-08-01,Spotify Premium,149.0,Entertainment,expense
2025-08-01,Church Donation,85.42,Charity,expense
2025-08-01,Barangay Contribution,154.8,Charity,expense
2025-08-02,SM Grocery Shopping,2820.83,Groceries,expense
2025-08-02,Family Dinner at Gerry's Grill,1963.11,Dining,expense
2025-08-02,Coffee Project Latte,188.54,Coffee,expense
2025-08-03,Pharmacy Medicine,568.29,Medical,expense
2025-08-03,Coffee Project Latte,161.34,Coffee,expense
2025-08-03,Salon Visit,544.16,Wellness,expense
2025-08-04,Starbucks Coffee,235.64,Coffee,expense
2025-08-04,Taxi Ride,234.09,Transport,expense
2025-08-05,Starbucks Coffee,245.76,Coffee,expense
2025-08-05,Small Business Income,4602.49,Income,income
2025-08-06,Jollibee Meal,122.56,Food,expense
2025-08-06,Globe Postpaid Bill,1291.44,Utilities,expense
2025-08-07,National Bookstore Supplies,355.86,Shopping,expense
2025-08-07,Massage Service,465.34,Wellness,expense
2025-08-07,Dinner at Vikings,1830.82,Dining,expense
2025-08-07,Globe Postpaid Bill,1332.32,Utilities,expense
2025-08-07,Globe Prepaid Load,201.42,Utilities,expense
2025-08-08,Mobile Game Top-up,136.86,Entertainment,expense
2025-08-09,Pharmacy Medicine,451.46,Medical,expense
2025-08-09,7-Eleven Brewed Coffee,59.02,Coffee,expense
2025-08-10,GrabCar Ride,162.06,Transport,expense
2025-08-11,Salon Visit,776.4,Wellness,expense
2025-08-12,PLDT Internet Bill,1959.27,Utilities,expense
2025-08-12,Gas Station Fill Up,1318.36,Fuel,expense
2025-08-12,Massage Service,643.47,Wellness,expense
2025-08-13,Salon Visit,1145.96,Wellness,expense
2025-08-13,Bus Fare,51.68,Transport,expense
2025-08-14,Carinderia Meal,95.27,Food,expense
2025-08-14,Small Business Income,2816.89,Income,income
2025-08-14,Robinsons Grocery,4389.1,Groceries,expense
2025-08-14,Church Donation,86.85,Charity,expense
2025-08-14,Salon Visit,1019.69,Wellness,expense
2025-08-15,Barangay Contribution,152.76,Charity,expense
2025-08-15,SM Grocery Shopping,3191.44,Groceries,expense
2025-08-16,Dinner at Max's,754.51,Dining,expense
2025-08-16,GrabFood Order,239.02,Food,expense
2025-08-16,Family Dinner at Gerry's Grill,1283.9,Dining,expense
2025-08-16,Church Donation,64.51,Charity,expense
2025-08-16,SM Grocery Shopping,2662.77,Groceries,expense
2025-08-17,Globe Postpaid Bill,984.71,Utilities,expense
2025-08-18,Gas Station Fill Up,1340.68,Fuel,expense
2025-08-18,Gas Station Fill Up,1809.54,Fuel,expense
2025-08-18,KTV Night,911.63,Entertainment,expense
2025-08-18,Watsons Vitamins,447.62,Medical,expense
2025-08-19,Gas Station Fill Up,1208.67,Fuel,expense
2025-08-19,GrabCar Ride,368.18,Transport,expense
2025-08-19,Bus Fare,32.76,Transport,expense
2025-08-19,Pharmacy Medicine,235.56,Medical,expense
2025-08-19,Small Business Income,6296.81,Income,income
2025-08-20,GrabFood Order,191.86,Food,expense
2025-08-20,Starbucks Coffee,158.27,Coffee,expense
2025-08-20,Gas Station Fill Up,1912.37,Fuel,expense
2025-08-21,Small Business Income,6868.84,Income,income
2025-08-22,Watsons Health Products,711.97,Shopping,expense
2025-08-22,Barangay Contribution,295.92,Charity,expense
2025-08-22,Tricycle Fare,15.16,Transport,expense
2025-08-22,SM Cinema Movie,533.97,Entertainment,expense
2025-08-23,Spotify Premium,149.0,Entertainment,expense
2025-08-23,Freelance Payment,12599.52,Income,income
2025-08-23,Barangay Contribution,158.0,Charity,expense
2025-08-24,Massage Service,513.82,Wellness,expense
2025-08-24,Coffee Project Latte,174.48,Coffee,expense
2025-08-25,Dinner at Vikings,1427.43,Dining,expense
2025-08-25,Gas Station Fill Up,1325.19,Fuel,expense
2025-08-25,Watsons Vitamins,453.17,Medical,expense
2025-08-26,Allowance from Parents,2680.52,Income,income
2025-08-26,Shakey's Pizza,504.32,Food,expense
2025-08-26,Tricycle Fare,16.98,Transport,expense
2025-08-26,Dinner at Vikings,1934.59,Dining,expense
2025-08-27,KFC Combo Meal,222.2,Food,expense
2025-08-27,Jeepney Fare,19.53,Transport,expense
2025-08-27,KTV Night,973.26,Entertainment,expense
2025-08-28,PLDT Internet Bill,1578.31,Utilities,expense
2025-08-29,Maynilad Water Bill,744.02,Utilities,expense
2025-08-29,Allowance from Parents,1138.15,Income,income
2025-08-29,Robinsons Grocery,2491.19,Groceries,expense
2025-08-29,Salon Visit,1458.61,Wellness,expense
2025-08-30,Dinner at Vikings,1890.93,Dining,expense
2025-08-30,Barber Shop,159.5,Wellness,expense
2025-08-30,Watsons Health Products,745.09,Shopping,expense
2025-08-30,Salon Visit,635.39,Wellness,expense
2025-08-30,SM Cinema Movie,493.23,Entertainment,expense
2025-08-31,Shakey's Pizza,1108.24,Food,expense
2025-08-31,Shakey's Pizza,835.02,Food,expense
2025-08-31,Barber Shop,106.18,Wellness,expense
2025-08-31,Small Business Income,2767.15,Income,income
2025-09-01,Pharmacy Medicine,594.55,Medical,expense
2025-09-01,Church Donation,149.0,Charity,expense
2025-09-01,SM Grocery Shopping,3457.51,Groceries,expense
2025-09-02,Robinsons Grocery,1891.47,Groceries,expense
2025-09-02,Pharmacy Medicine,329.07,Medical,expense
2025-09-02,Barangay Contribution,170.79,Charity,expense
2025-09-02,Massage Service,678.56,Wellness,expense
2025-09-02,Barber Shop,116.75,Wellness,expense
2025-09-03,Spotify Premium,149.0,Entertainment,expense
2025-09-03,7-Eleven Brewed Coffee,66.09,Coffee,expense
2025-09-03,7-Eleven Brewed Coffee,59.59,Coffee,expense
2025-09-03,7-Eleven Brewed Coffee,41.09,Coffee,expense
2025-09-03,Pharmacy Medicine,451.93,Medical,expense
2025-09-04,Starbucks Coffee,178.72,Coffee,expense
2025-09-04,Netflix Subscription,459.0,Entertainment,expense
2025-09-05,7-Eleven Brewed Coffee,64.36,Coffee,expense
2025-09-05,GrabCar Ride,373.72,Transport,expense
2025-09-05,Barangay Contribution,214.18,Charity,expense
2025-09-06,Jollibee Meal,116.97,Food,expense
2025-09-06,Barangay Contribution,125.62,Charity,expense
2025-09-06,Shopee Purchase,1418.92,Shopping,expense
2025-09-06,Salon Visit,1011.96,Wellness,expense
2025-09-06,Puregold Grocery,2448.63,Groceries,expense
2025-09-07,KFC Combo Meal,150.07,Food,expense
2025-09-07,Church Donation,127.05,Charity,expense
2025-09-08,PLDT Internet Bill,1606.48,Utilities,expense
2025-09-08,Globe Prepaid Load,312.27,Utilities,expense
2025-09-08,Gas Station Fill Up,1231.26,Fuel,expense
2025-09-08,Globe Prepaid Load,311.67,Utilities,expense
2025-09-08,Watsons Vitamins,384.98,Medical,expense
2025-09-09,Family Dinner at Gerry's Grill,1880.89,Dining,expense
2025-09-09,Robinsons Grocery,2201.31,Groceries,expense
2025-09-09,7-Eleven Brewed Coffee,46.93,Coffee,expense
2025-09-09,SM Cinema Movie,546.4,Entertainment,expense
2025-09-09,Lazada Order,384.99,Shopping,expense
2025-09-10,Barangay Contribution,247.84,Charity,expense
2025-09-11,Church Donation,70.04,Charity,expense
2025-09-11,KTV Night,934.4,Entertainment,expense
2025-09-12,GrabFood Order,240.55,Food,expense
2025-09-13,Tricycle Fare,16.14,Transport,expense
2025-09-13,Globe Prepaid Load,275.29,Utilities,expense
2025-09-14,Globe Postpaid Bill,944.44,Utilities,expense
2025-09-14,Family Dinner at Gerry's Grill,1515.84,Dining,expense
2025-09-14,Small Business Income,3398.46,Income,income
2025-09-14,Dinner at Max's,645.85,Dining,expense
2025-09-15,Netflix Subscription,459.0,Entertainment,expense
2025-09-15,Family Dinner at Gerry's Grill,1319.06,Dining,expense
2025-09-15,Samgyupsal Dinner,891.31,Food,expense
2025-07-15,Freelance Web Development Payment,3000.0,Income,income
2025-08-10,Bonus from Work,2500.0,Income,income
2025-09-05,Tutoring Session Payment,2000.0,Income,income
